data	jogador	time	mercado	side	linha	casa	odd	unidade
13/02/23	Mark Williams	CHA	Ast	U	0,5	Bet365	2,35	0,62
13/02/23	Gordon Hayward	CHA	Reb	U	4,5	Bet365	1,80	0,62
13/02/23	LaMelo Ball	CHA	Ast	O	8,5	Bet365	1,86	0,62
13/02/23	Terry Rozier	CHA	Reb	U	4,5	Betano	1,75	0,62
13/02/23	Evan Mobley	CLE	Pts	U	17,5	Betano	1,87	0,62
13/02/23	Evan Mobley	CLE	Reb	U	9,5	Betano	1,90	0,62
13/02/23	Evan Mobley	CLE	Ast	U	2,5	Bet365	2,45	0,62
13/02/23	Donovan Mitchell	CLE	Ast	U	5,5	Bet365	1,80	0,62
13/02/23	Donovan Mitchell	CLE	Reb	U	4,5	Bet365	1,74	0,62
13/02/23	Isaac Okoro	CLE	Ast	U	1,5	Betano	1,98	0,62
13/02/23	Jarrett Allen	CLE	Reb	U	10,5	Betano	1,95	0,62
13/02/23	Max Strus	MIA	Ast	U	3,5	Bet365	1,86	0,62
13/02/23	Immanuel Quickley	NYK	Pts	U	10,5	Betano	1,95	0,62
13/02/23	Quentin Grimes	NYK	Ast	U	1,5	Bet365	1,80	0,62
13/02/23	Julius Randle	NYK	Ast	U	3,5	Bet365	2,30	0,62
13/02/23	Quentin Grimes	NYK	Reb	U	2,5	Bet365	2,15	0,62
13/02/23	Quentin Grimes	NYK	Pts	U	8,5	Betano	1,98	0,62
13/02/23	Joel Embiid	PHI	Reb	U	10,5	Betano	1,95	0,62
13/02/23	Keldon Johnson	SAS	Pts	U	21,5	Bet365	1,80	0,62
13/02/23	Lauri Markkanen	UTA	Pts	O	26,5	Betano	1,91	0,62
13/02/23	Kelly Olynyk	UTA	Ast	U	3,5	Bet365	1,83	0,62
13/02/23	Walker Kessler	UTA	Reb	O	10,5	Bet365	1,80	0,62
