Jaylen Brown	BOS
Al Horford	BOS
Derrick White	BOS
Joel Embiid	PHI
Tobias Harris 	PHI
Jayson Tatum	BOS
Tyrese Maxey 	PHI
Jusuf Nurkic	POR
Cade Cunningham	DET
Damian Lillard	POR
Anfernee Simons	POR
Mikal Bridges	PHX
Isaiah Stewart 	DET
Deandre Ayton	PHX
Chris Paul	PHX
Saddiq Bey	DET
Spencer Dinwiddie	DAL
Dorian Finney-Smith	DAL
Jalen Suggs	ORL
Jordan Clarkson	UTA
Mike Conley	UTA
Lauri Markkanen	UTA
Chris Duarte	IND
Kyle Kuzma	WAS
Jimmy Butler	MIA
Josh Giddey	OKC
Anthony Edwards	MIN
D'Angelo Russell	MIN
De'Andre Hunter	ATL
Shai Gilgeous-Alexander	OKC
Mason Plumlee	CHA
Terry Rozier	CHA
RJ Barrett	NYK
Jalen Brunson	NYK
Ja Morant	MEM
Zion Williamson	NOP
Jonas Valanciunas	NOP
Tyler Herro	MIA
Caris LeVert 	CLE
Evan Mobley	CLE
Pascal Siakam	TOR
Pascal Siakam 	TOR
Scottie Barnes 	TOR
Jalen Green	HOU
Brandon Ingram	NOP
Eric Gordon	ATL
Julius Randle	NYK
Paul George	LAC
Reggie Jackson	LAC
James Harden	PHI
Tobias Harris 	PHI
Jrue Holiday 	MIL
Grayson Allen	MIL
Jalen McDaniels	CHA
Jalen Smith	IND
Tyrese Haliburton	IND
Terry Rozier 	CHA
Max Strus	MIA
Caleb Martin	MIA
Marcus Smart 	BOS
Jalen Brunson	NYK
RJ Barrett	NYK
Isaiah Stewart 	NYK
Santi Aldama	MEM
Karl-Anthony Towns	MIN
Collin Sexton	UTA
Franz Wagner	ORL
Andrew Wiggins	GSW
Josh Hart	POR
Kevon Looney	GSW
Stephen Curry	GSW
Jerami Grant	POR
Ayo Dosunmu	CHI
Gordon Hayward	CHI
Tyrese Maxey 	PHI
Joel Embiid 	PHI
Cole Anthony	ORL
Bojan Bogdanovic	DET
Buddy Hield	IND
Alperen Sengun	HOU
Giannis Antetokounmpo	MIL
Maxi Kleber	DAL
Marcus Morris	LAC
De'Aaron Fox	SAC
Christian Wood	DAL
Russell Westbrook	LAL
Brandon Ingram	NOP
Jose Alvarado	NOP
Zion Williamson	NOP
Talen Horton -Tucker	UTA
Donovan Mitchell	CLE
Jordan Poole	GSW
Zion Williamson	PEL
Immanuel Quickley	NYK
Julius Randle	NYK
Chuma Okeke 	ORL
Wendell Carter	ORL
Kyrie Irving	BKN
Al Horford	BOS
Grant Williams	BOS
Marcus Smart	BOS
Patrick Williams	CHI
Devin Vassell	SAS
Jakob Poell	SAS
Jamal Murray	DEN
Jaylen Brown	BOS
Michael Porter	DEN
Isaiah Stewart	DET
Rui Hachimura	WAS
Reggie Bullock	DAL
CJ McCollum	NOP
Jeremiah Robinson-Earl	OKC
Luguentz Dort	OKC
Tre Mann	OKC
Draymond Green	GSW
Klay Thompson	GSW
Jock Landale	PHX
Terance Mann	LAC
Trey Murphy 	NOP
Caris LeVert	CLE
Cedi Osman	CLE
Donovan Mitchel	CLE
Jrue Holiday	MIL
Evan Fournier	NYK
Tobias Harris	PHI
Tyrese Maxey	PHI
Nikola Vucevic	CHI
Kari-Anthony Towns	MIN
Nikola Jokic	DEN
Talen Horton-Tucker	UTA
Gabe Vincent	MIA
Austin Reaves	LAL
Anthony Edwards 	MIN
Nicolas Batum	LAC
Robert Covington	LAC
Sha Gilgeous-Alexander	OKC
Desmond Bane	MEM
Bam Adebayo	MIA
Keegan Murray	SAC
James Bouknight	CHA
Mason Plumiee	CHA
Deni Avdija	WAS
Jakob Poeltl	SAS
Josh Richardson	SAS
Aaron Gordon	DEN
Devin Booker	PHX
Bennedict Mathurin	IND
Domantas Sabonis	SAC
Ben Simmons	BKN
Tobias Hams	PHI
Dillon Brooks	MEM
Zach LaVine	CHI
John Wall	LAC
